county_state,county_fips,cases,risk_level_county,mean_vaccination_rate_county,popup_info
"Berkeley County, SC",45015,16,Higher Risk (60–69% vaccinated),66.7,<ul><li><b>29472</b>: Higher Risk (60–69% vaccinated)</li><li><b>29453</b>: Medium Risk (70–79% vaccinated)</li><li><b>29450</b>: Higher Risk (60–69% vaccinated)</li><li><b>29461</b>: Medium Risk (70–79% vaccinated)</li><li><b>29445</b>: Medium Risk (70–79% vaccinated)</li><li><b>29486</b>: Uninhabited</li><li><b>29492</b>: Medium Risk (70–79% vaccinated)</li><li><b>29434</b>: Uninhabited</li><li><b>29436</b>: Higher Risk (60–69% vaccinated)</li><li><b>29456</b>: Higher Risk (60–69% vaccinated)</li><li><b>29479</b>: Medium Risk (70–79% vaccinated)</li><li><b>29059</b>: Higher Risk (60–69% vaccinated)</li><li><b>29406</b>: Higher Risk (60–69% vaccinated)</li><li><b>29410</b>: Medium Risk (70–79% vaccinated)</li><li><b>29468</b>: Higher Risk (60–69% vaccinated)</li><li><b>29483</b>: Medium Risk (70–79% vaccinated)</li><li><b>29431</b>: Higher Risk (60–69% vaccinated)</li><li><b>29469</b>: Uninhabited</li></ul>
"Berkeley County, WV",54003,0,Very High Risk (<60% vaccinated),56.46,<ul><li><b>25427</b>: Medium Risk (70–79% vaccinated)</li><li><b>25401</b>: Medium Risk (70–79% vaccinated)</li><li><b>25443</b>: Medium Risk (70–79% vaccinated)</li><li><b>25404</b>: Medium Risk (70–79% vaccinated)</li><li><b>25403</b>: Medium Risk (70–79% vaccinated)</li><li><b>25421</b>: Uninhabited</li><li><b>25419</b>: Medium Risk (70–79% vaccinated)</li><li><b>25430</b>: Medium Risk (70–79% vaccinated)</li><li><b>25413</b>: Medium Risk (70–79% vaccinated)</li><li><b>25405</b>: Medium Risk (70–79% vaccinated)</li><li><b>25428</b>: Medium Risk (70–79% vaccinated)</li><li><b>25420</b>: Medium Risk (70–79% vaccinated)</li></ul>
"Berks County, PA",42011,16,Medium Risk (70–79% vaccinated),76.27,<ul><li><b>19506</b>: Medium Risk (70–79% vaccinated)</li><li><b>19511</b>: Uninhabited</li><li><b>19535</b>: Uninhabited</li><li><b>18031</b>: Higher Risk (60–69% vaccinated)</li><li><b>18056</b>: Medium Risk (70–79% vaccinated)</li><li><b>18070</b>: Medium Risk (70–79% vaccinated)</li><li><b>19508</b>: Medium Risk (70–79% vaccinated)</li><li><b>19523</b>: Uninhabited</li><li><b>19536</b>: Very High Risk (<60% vaccinated)</li><li><b>19545</b>: Medium Risk (70–79% vaccinated)</li><li><b>19551</b>: Lower Risk (80–84% vaccinated)</li><li><b>19554</b>: Uninhabited</li><li><b>19564</b>: Higher Risk (60–69% vaccinated)</li><li><b>19611</b>: Higher Risk (60–69% vaccinated)</li><li><b>19538</b>: Medium Risk (70–79% vaccinated)</li><li><b>19562</b>: Medium Risk (70–79% vaccinated)</li><li><b>19516</b>: Uninhabited</li><li><b>19539</b>: Higher Risk (60–69% vaccinated)</li><li><b>19560</b>: Higher Risk (60–69% vaccinated)</li><li><b>19555</b>: Medium Risk (70–79% vaccinated)</li><li><b>19525</b>: Medium Risk (70–79% vaccinated)</li><li><b>17067</b>: Medium Risk (70–79% vaccinated)</li><li><b>19605</b>: Higher Risk (60–69% vaccinated)</li><li><b>18041</b>: Medium Risk (70–79% vaccinated)</li><li><b>19565</b>: Medium Risk (70–79% vaccinated)</li><li><b>18062</b>: Medium Risk (70–79% vaccinated)</li><li><b>19567</b>: Medium Risk (70–79% vaccinated)</li><li><b>19544</b>: Very High Risk (<60% vaccinated)</li><li><b>18011</b>: Medium Risk (70–79% vaccinated)</li><li><b>19543</b>: Higher Risk (60–69% vaccinated)</li><li><b>17087</b>: Lower Risk (80–84% vaccinated)</li><li><b>19501</b>: Lowest Risk (85%+)</li><li><b>19503</b>: Lower Risk (80–84% vaccinated)</li><li><b>17569</b>: Higher Risk (60–69% vaccinated)</li><li><b>19610</b>: Medium Risk (70–79% vaccinated)</li><li><b>18092</b>: Medium Risk (70–79% vaccinated)</li><li><b>19504</b>: Higher Risk (60–69% vaccinated)</li><li><b>19505</b>: Medium Risk (70–79% vaccinated)</li><li><b>19507</b>: Higher Risk (60–69% vaccinated)</li><li><b>19518</b>: Higher Risk (60–69% vaccinated)</li><li><b>19520</b>: Medium Risk (70–79% vaccinated)</li><li><b>19522</b>: Medium Risk (70–79% vaccinated)</li><li><b>19526</b>: Medium Risk (70–79% vaccinated)</li><li><b>19529</b>: Medium Risk (70–79% vaccinated)</li><li><b>19550</b>: Lowest Risk (85%+)</li><li><b>19534</b>: Higher Risk (60–69% vaccinated)</li><li><b>19540</b>: Higher Risk (60–69% vaccinated)</li><li><b>19559</b>: Medium Risk (70–79% vaccinated)</li><li><b>19547</b>: Medium Risk (70–79% vaccinated)</li><li><b>19601</b>: Very High Risk (<60% vaccinated)</li><li><b>19602</b>: Very High Risk (<60% vaccinated)</li><li><b>19604</b>: Very High Risk (<60% vaccinated)</li><li><b>19607</b>: Medium Risk (70–79% vaccinated)</li><li><b>19608</b>: Medium Risk (70–79% vaccinated)</li><li><b>19464</b>: Higher Risk (60–69% vaccinated)</li><li><b>19512</b>: Medium Risk (70–79% vaccinated)</li><li><b>19609</b>: Medium Risk (70–79% vaccinated)</li><li><b>19510</b>: Medium Risk (70–79% vaccinated)</li><li><b>19541</b>: Medium Risk (70–79% vaccinated)</li><li><b>17026</b>: Higher Risk (60–69% vaccinated)</li><li><b>17555</b>: Higher Risk (60–69% vaccinated)</li><li><b>19530</b>: Medium Risk (70–79% vaccinated)</li><li><b>19606</b>: Medium Risk (70–79% vaccinated)</li><li><b>19533</b>: Medium Risk (70–79% vaccinated)</li></ul>
"Berkshire County, MA",25003,0,Medium Risk (70–79% vaccinated),77.45,<ul><li><b>01225</b>: Medium Risk (70–79% vaccinated)</li><li><b>01235</b>: Medium Risk (70–79% vaccinated)</li><li><b>01260</b>: Uninhabited</li><li><b>01229</b>: Uninhabited</li><li><b>01201</b>: Medium Risk (70–79% vaccinated)</li><li><b>01026</b>: Higher Risk (60–69% vaccinated)</li><li><b>01236</b>: Medium Risk (70–79% vaccinated)</li><li><b>01223</b>: Medium Risk (70–79% vaccinated)</li><li><b>01262</b>: Higher Risk (60–69% vaccinated)</li><li><b>01226</b>: Lower Risk (80–84% vaccinated)</li><li><b>01070</b>: Medium Risk (70–79% vaccinated)</li><li><b>01258</b>: Medium Risk (70–79% vaccinated)</li><li><b>01238</b>: Higher Risk (60–69% vaccinated)</li><li><b>01230</b>: Medium Risk (70–79% vaccinated)</li><li><b>01029</b>: Medium Risk (70–79% vaccinated)</li><li><b>01259</b>: Medium Risk (70–79% vaccinated)</li><li><b>01222</b>: Medium Risk (70–79% vaccinated)</li><li><b>01237</b>: Higher Risk (60–69% vaccinated)</li><li><b>01242</b>: Uninhabited</li><li><b>01244</b>: Medium Risk (70–79% vaccinated)</li><li><b>01253</b>: Higher Risk (60–69% vaccinated)</li><li><b>01256</b>: Medium Risk (70–79% vaccinated)</li><li><b>01257</b>: Higher Risk (60–69% vaccinated)</li><li><b>01264</b>: Lower Risk (80–84% vaccinated)</li><li><b>01267</b>: Medium Risk (70–79% vaccinated)</li><li><b>01270</b>: Medium Risk (70–79% vaccinated)</li><li><b>01343</b>: Lower Risk (80–84% vaccinated)</li><li><b>01240</b>: Medium Risk (70–79% vaccinated)</li><li><b>01008</b>: Medium Risk (70–79% vaccinated)</li><li><b>01254</b>: Medium Risk (70–79% vaccinated)</li><li><b>01266</b>: Higher Risk (60–69% vaccinated)</li><li><b>01255</b>: Medium Risk (70–79% vaccinated)</li><li><b>01247</b>: Medium Risk (70–79% vaccinated)</li><li><b>01224</b>: Uninhabited</li><li><b>01245</b>: Higher Risk (60–69% vaccinated)</li><li><b>01220</b>: Medium Risk (70–79% vaccinated)</li></ul>
"Bernalillo County, NM",35001,100,Higher Risk (60–69% vaccinated),61.65,<ul><li><b>87026</b>: Higher Risk (60–69% vaccinated)</li><li><b>87101</b>: Uninhabited</li><li><b>87047</b>: Medium Risk (70–79% vaccinated)</li><li><b>87151</b>: Uninhabited</li><li><b>87117</b>: Uninhabited</li><li><b>87121</b>: Higher Risk (60–69% vaccinated)</li><li><b>87022</b>: Higher Risk (60–69% vaccinated)</li><li><b>87104</b>: Higher Risk (60–69% vaccinated)</li><li><b>87008</b>: Medium Risk (70–79% vaccinated)</li><li><b>87114</b>: Medium Risk (70–79% vaccinated)</li><li><b>87105</b>: Very High Risk (<60% vaccinated)</li><li><b>87015</b>: Medium Risk (70–79% vaccinated)</li><li><b>87106</b>: Medium Risk (70–79% vaccinated)</li><li><b>87116</b>: Lowest Risk (85%+)</li><li><b>87120</b>: Medium Risk (70–79% vaccinated)</li><li><b>87109</b>: Medium Risk (70–79% vaccinated)</li><li><b>87123</b>: Higher Risk (60–69% vaccinated)</li><li><b>87113</b>: Medium Risk (70–79% vaccinated)</li><li><b>87110</b>: Medium Risk (70–79% vaccinated)</li><li><b>87111</b>: Lower Risk (80–84% vaccinated)</li><li><b>87112</b>: Medium Risk (70–79% vaccinated)</li><li><b>87124</b>: Medium Risk (70–79% vaccinated)</li><li><b>87068</b>: Very High Risk (<60% vaccinated)</li><li><b>87048</b>: Medium Risk (70–79% vaccinated)</li><li><b>87102</b>: Higher Risk (60–69% vaccinated)</li><li><b>87122</b>: Medium Risk (70–79% vaccinated)</li><li><b>87059</b>: Medium Risk (70–79% vaccinated)</li><li><b>87107</b>: Higher Risk (60–69% vaccinated)</li><li><b>87108</b>: Very High Risk (<60% vaccinated)</li></ul>
"Berrien County, GA",13019,10,Medium Risk (70–79% vaccinated),74.59,<ul><li><b>31639</b>: Higher Risk (60–69% vaccinated)</li><li><b>31749</b>: Higher Risk (60–69% vaccinated)</li><li><b>31794</b>: Higher Risk (60–69% vaccinated)</li><li><b>31622</b>: Very High Risk (<60% vaccinated)</li><li><b>31637</b>: Higher Risk (60–69% vaccinated)</li><li><b>31645</b>: Very High Risk (<60% vaccinated)</li></ul>
"Berrien County, MI",26021,28,Higher Risk (60–69% vaccinated),67.88,<ul><li><b>49084</b>: Lower Risk (80–84% vaccinated)</li><li><b>49104</b>: Uninhabited</li><li><b>49106</b>: Higher Risk (60–69% vaccinated)</li><li><b>49119</b>: Medium Risk (70–79% vaccinated)</li><li><b>49115</b>: Medium Risk (70–79% vaccinated)</li><li><b>49111</b>: Higher Risk (60–69% vaccinated)</li><li><b>49102</b>: Higher Risk (60–69% vaccinated)</li><li><b>49128</b>: Higher Risk (60–69% vaccinated)</li><li><b>49125</b>: Higher Risk (60–69% vaccinated)</li><li><b>49103</b>: Higher Risk (60–69% vaccinated)</li><li><b>49117</b>: Higher Risk (60–69% vaccinated)</li><li><b>49126</b>: Very High Risk (<60% vaccinated)</li><li><b>49101</b>: Higher Risk (60–69% vaccinated)</li><li><b>49107</b>: Higher Risk (60–69% vaccinated)</li><li><b>49113</b>: Higher Risk (60–69% vaccinated)</li><li><b>49116</b>: Higher Risk (60–69% vaccinated)</li><li><b>49098</b>: Medium Risk (70–79% vaccinated)</li><li><b>49120</b>: Medium Risk (70–79% vaccinated)</li><li><b>49129</b>: Very High Risk (<60% vaccinated)</li><li><b>49127</b>: Medium Risk (70–79% vaccinated)</li><li><b>49038</b>: Higher Risk (60–69% vaccinated)</li><li><b>49047</b>: Higher Risk (60–69% vaccinated)</li><li><b>49085</b>: Medium Risk (70–79% vaccinated)</li><li><b>49022</b>: Higher Risk (60–69% vaccinated)</li></ul>
"Bertie County, NC",37015,0,Very High Risk (<60% vaccinated),55.28,<ul><li><b>27983</b>: Higher Risk (60–69% vaccinated)</li><li><b>27967</b>: Medium Risk (70–79% vaccinated)</li><li><b>27910</b>: Medium Risk (70–79% vaccinated)</li><li><b>27849</b>: Higher Risk (60–69% vaccinated)</li><li><b>27957</b>: Higher Risk (60–69% vaccinated)</li><li><b>27869</b>: Medium Risk (70–79% vaccinated)</li><li><b>27872</b>: Higher Risk (60–69% vaccinated)</li><li><b>27924</b>: Higher Risk (60–69% vaccinated)</li><li><b>27847</b>: Medium Risk (70–79% vaccinated)</li><li><b>27805</b>: Higher Risk (60–69% vaccinated)</li></ul>
"Bethel County, AK",02050,3,NA,NA,<ul><li><b>NA</b>: NA</li></ul>
"Bexar County, TX",48029,803,Higher Risk (60–69% vaccinated),64.1,<ul><li><b>78243</b>: Uninhabited</li><li><b>78249</b>: Medium Risk (70–79% vaccinated)</li><li><b>78211</b>: Very High Risk (<60% vaccinated)</li><li><b>78225</b>: Very High Risk (<60% vaccinated)</li><li><b>78235</b>: Medium Risk (70–79% vaccinated)</li><li><b>78242</b>: Higher Risk (60–69% vaccinated)</li><li><b>78023</b>: Higher Risk (60–69% vaccinated)</li><li><b>78150</b>: Uninhabited</li><li><b>78223</b>: Very High Risk (<60% vaccinated)</li><li><b>78006</b>: Medium Risk (70–79% vaccinated)</li><li><b>78247</b>: Higher Risk (60–69% vaccinated)</li><li><b>78208</b>: Very High Risk (<60% vaccinated)</li><li><b>78202</b>: Very High Risk (<60% vaccinated)</li><li><b>78108</b>: Medium Risk (70–79% vaccinated)</li><li><b>78124</b>: Very High Risk (<60% vaccinated)</li><li><b>78264</b>: Very High Risk (<60% vaccinated)</li><li><b>78226</b>: Higher Risk (60–69% vaccinated)</li><li><b>78266</b>: Higher Risk (60–69% vaccinated)</li><li><b>78254</b>: Higher Risk (60–69% vaccinated)</li><li><b>78252</b>: Higher Risk (60–69% vaccinated)</li><li><b>78244</b>: Higher Risk (60–69% vaccinated)</li><li><b>78210</b>: Very High Risk (<60% vaccinated)</li><li><b>78217</b>: Higher Risk (60–69% vaccinated)</li><li><b>78251</b>: Medium Risk (70–79% vaccinated)</li><li><b>78073</b>: Higher Risk (60–69% vaccinated)</li><li><b>78258</b>: Medium Risk (70–79% vaccinated)</li><li><b>78112</b>: Higher Risk (60–69% vaccinated)</li><li><b>78152</b>: Higher Risk (60–69% vaccinated)</li><li><b>78263</b>: Higher Risk (60–69% vaccinated)</li><li><b>78237</b>: Very High Risk (<60% vaccinated)</li><li><b>78218</b>: Higher Risk (60–69% vaccinated)</li><li><b>78231</b>: Higher Risk (60–69% vaccinated)</li><li><b>78238</b>: Very High Risk (<60% vaccinated)</li><li><b>78234</b>: Medium Risk (70–79% vaccinated)</li><li><b>78203</b>: Higher Risk (60–69% vaccinated)</li><li><b>78204</b>: Very High Risk (<60% vaccinated)</li><li><b>78205</b>: Higher Risk (60–69% vaccinated)</li><li><b>78207</b>: Very High Risk (<60% vaccinated)</li><li><b>78209</b>: Medium Risk (70–79% vaccinated)</li><li><b>78213</b>: Medium Risk (70–79% vaccinated)</li><li><b>78214</b>: Very High Risk (<60% vaccinated)</li><li><b>78216</b>: Higher Risk (60–69% vaccinated)</li><li><b>78240</b>: Medium Risk (70–79% vaccinated)</li><li><b>78224</b>: Higher Risk (60–69% vaccinated)</li><li><b>78232</b>: Medium Risk (70–79% vaccinated)</li><li><b>78233</b>: Higher Risk (60–69% vaccinated)</li><li><b>78236</b>: Lower Risk (80–84% vaccinated)</li><li><b>78239</b>: Higher Risk (60–69% vaccinated)</li><li><b>78015</b>: Medium Risk (70–79% vaccinated)</li><li><b>78229</b>: Higher Risk (60–69% vaccinated)</li><li><b>78257</b>: Medium Risk (70–79% vaccinated)</li><li><b>78245</b>: Higher Risk (60–69% vaccinated)</li><li><b>78250</b>: Medium Risk (70–79% vaccinated)</li><li><b>78253</b>: Higher Risk (60–69% vaccinated)</li><li><b>78255</b>: Higher Risk (60–69% vaccinated)</li><li><b>78259</b>: Higher Risk (60–69% vaccinated)</li><li><b>78260</b>: Higher Risk (60–69% vaccinated)</li><li><b>78248</b>: Medium Risk (70–79% vaccinated)</li><li><b>78069</b>: Very High Risk (<60% vaccinated)</li><li><b>78109</b>: Higher Risk (60–69% vaccinated)</li><li><b>78154</b>: Medium Risk (70–79% vaccinated)</li><li><b>78039</b>: Very High Risk (<60% vaccinated)</li><li><b>78101</b>: Higher Risk (60–69% vaccinated)</li><li><b>78215</b>: Very High Risk (<60% vaccinated)</li><li><b>78220</b>: Very High Risk (<60% vaccinated)</li><li><b>78052</b>: Higher Risk (60–69% vaccinated)</li><li><b>78221</b>: Very High Risk (<60% vaccinated)</li><li><b>78227</b>: Very High Risk (<60% vaccinated)</li><li><b>78228</b>: Very High Risk (<60% vaccinated)</li><li><b>78002</b>: Very High Risk (<60% vaccinated)</li><li><b>78219</b>: Very High Risk (<60% vaccinated)</li><li><b>78148</b>: Higher Risk (60–69% vaccinated)</li><li><b>78222</b>: Higher Risk (60–69% vaccinated)</li><li><b>78201</b>: Very High Risk (<60% vaccinated)</li><li><b>78256</b>: Very High Risk (<60% vaccinated)</li><li><b>78261</b>: Higher Risk (60–69% vaccinated)</li><li><b>78212</b>: Higher Risk (60–69% vaccinated)</li><li><b>78230</b>: Medium Risk (70–79% vaccinated)</li></ul>
"Bibb County, AL",01007,1,Higher Risk (60–69% vaccinated),67.09,<ul><li><b>35115</b>: Higher Risk (60–69% vaccinated)</li><li><b>35034</b>: Higher Risk (60–69% vaccinated)</li><li><b>35035</b>: Higher Risk (60–69% vaccinated)</li><li><b>35042</b>: Very High Risk (<60% vaccinated)</li><li><b>35074</b>: Uninhabited</li><li><b>36750</b>: Medium Risk (70–79% vaccinated)</li><li><b>35111</b>: Higher Risk (60–69% vaccinated)</li><li><b>36793</b>: Lowest Risk (85%+)</li><li><b>35184</b>: Medium Risk (70–79% vaccinated)</li><li><b>36792</b>: Medium Risk (70–79% vaccinated)</li><li><b>35188</b>: Very High Risk (<60% vaccinated)</li></ul>
"Bibb County, GA",13021,10,Very High Risk (<60% vaccinated),54.46,<ul><li><b>31217</b>: Very High Risk (<60% vaccinated)</li><li><b>31213</b>: Uninhabited</li><li><b>31020</b>: Higher Risk (60–69% vaccinated)</li><li><b>31207</b>: Uninhabited</li><li><b>31216</b>: Higher Risk (60–69% vaccinated)</li><li><b>31210</b>: Medium Risk (70–79% vaccinated)</li><li><b>31052</b>: Higher Risk (60–69% vaccinated)</li><li><b>31220</b>: Higher Risk (60–69% vaccinated)</li><li><b>31211</b>: Higher Risk (60–69% vaccinated)</li><li><b>31206</b>: Very High Risk (<60% vaccinated)</li><li><b>31201</b>: Higher Risk (60–69% vaccinated)</li><li><b>31204</b>: Higher Risk (60–69% vaccinated)</li><li><b>31066</b>: Higher Risk (60–69% vaccinated)</li></ul>
"Bienville County, LA",22013,2,Higher Risk (60–69% vaccinated),63.4,<ul><li><b>71008</b>: Medium Risk (70–79% vaccinated)</li><li><b>71001</b>: Higher Risk (60–69% vaccinated)</li><li><b>71028</b>: Higher Risk (60–69% vaccinated)</li><li><b>71055</b>: Higher Risk (60–69% vaccinated)</li><li><b>71070</b>: Medium Risk (70–79% vaccinated)</li><li><b>71251</b>: Higher Risk (60–69% vaccinated)</li><li><b>71068</b>: Higher Risk (60–69% vaccinated)</li><li><b>71268</b>: Medium Risk (70–79% vaccinated)</li><li><b>71045</b>: Higher Risk (60–69% vaccinated)</li><li><b>71039</b>: Very High Risk (<60% vaccinated)</li><li><b>71016</b>: Lower Risk (80–84% vaccinated)</li><li><b>71275</b>: Higher Risk (60–69% vaccinated)</li><li><b>71024</b>: Medium Risk (70–79% vaccinated)</li></ul>
"Big Horn County, MT",30003,32,Medium Risk (70–79% vaccinated),71.07,<ul><li><b>59010</b>: Lower Risk (80–84% vaccinated)</li><li><b>59024</b>: Lowest Risk (85%+)</li><li><b>59022</b>: Lower Risk (80–84% vaccinated)</li><li><b>82801</b>: Lower Risk (80–84% vaccinated)</li><li><b>59016</b>: Lower Risk (80–84% vaccinated)</li><li><b>59035</b>: Lowest Risk (85%+)</li><li><b>59038</b>: Medium Risk (70–79% vaccinated)</li><li><b>59043</b>: Medium Risk (70–79% vaccinated)</li><li><b>59064</b>: Uninhabited</li><li><b>59075</b>: Lowest Risk (85%+)</li><li><b>59101</b>: Medium Risk (70–79% vaccinated)</li><li><b>59034</b>: Medium Risk (70–79% vaccinated)</li><li><b>59031</b>: Higher Risk (60–69% vaccinated)</li><li><b>59050</b>: Medium Risk (70–79% vaccinated)</li><li><b>59037</b>: Medium Risk (70–79% vaccinated)</li><li><b>59025</b>: Uninhabited</li><li><b>59089</b>: Lower Risk (80–84% vaccinated)</li><li><b>59066</b>: Lowest Risk (85%+)</li></ul>
"Big Horn County, WY",56003,9,Medium Risk (70–79% vaccinated),76.87,<ul><li><b>82401</b>: Medium Risk (70–79% vaccinated)</li><li><b>82410</b>: Higher Risk (60–69% vaccinated)</li><li><b>82426</b>: Medium Risk (70–79% vaccinated)</li><li><b>82432</b>: Medium Risk (70–79% vaccinated)</li><li><b>82435</b>: Medium Risk (70–79% vaccinated)</li><li><b>82431</b>: Lower Risk (80–84% vaccinated)</li><li><b>82441</b>: Lowest Risk (85%+)</li><li><b>82428</b>: Lower Risk (80–84% vaccinated)</li><li><b>82422</b>: Uninhabited</li><li><b>82423</b>: Higher Risk (60–69% vaccinated)</li><li><b>82420</b>: Lower Risk (80–84% vaccinated)</li><li><b>82434</b>: Uninhabited</li><li><b>82421</b>: Medium Risk (70–79% vaccinated)</li><li><b>82411</b>: Lower Risk (80–84% vaccinated)</li><li><b>82412</b>: Medium Risk (70–79% vaccinated)</li></ul>
"Big Stone County, MN",27011,20,Medium Risk (70–79% vaccinated),76.68,<ul><li><b>56236</b>: Lower Risk (80–84% vaccinated)</li><li><b>56276</b>: Higher Risk (60–69% vaccinated)</li><li><b>56211</b>: Higher Risk (60–69% vaccinated)</li><li><b>56278</b>: Medium Risk (70–79% vaccinated)</li><li><b>56221</b>: Very High Risk (<60% vaccinated)</li><li><b>56240</b>: Medium Risk (70–79% vaccinated)</li><li><b>56219</b>: Medium Risk (70–79% vaccinated)</li><li><b>56227</b>: Very High Risk (<60% vaccinated)</li><li><b>56210</b>: Uninhabited</li><li><b>56208</b>: Higher Risk (60–69% vaccinated)</li><li><b>56225</b>: Higher Risk (60–69% vaccinated)</li></ul>
"Billings County, ND",38007,36,Lower Risk (80–84% vaccinated),81.39,<ul><li><b>58621</b>: Lower Risk (80–84% vaccinated)</li><li><b>58640</b>: Higher Risk (60–69% vaccinated)</li><li><b>58645</b>: Lower Risk (80–84% vaccinated)</li><li><b>58634</b>: Uninhabited</li><li><b>58627</b>: Lowest Risk (85%+)</li><li><b>58622</b>: Medium Risk (70–79% vaccinated)</li><li><b>58642</b>: Higher Risk (60–69% vaccinated)</li><li><b>58620</b>: Lowest Risk (85%+)</li></ul>
"Bingham County, ID",16011,3,Medium Risk (70–79% vaccinated),76.18,<ul><li><b>83215</b>: Medium Risk (70–79% vaccinated)</li><li><b>83402</b>: Medium Risk (70–79% vaccinated)</li><li><b>83211</b>: Higher Risk (60–69% vaccinated)</li><li><b>83203</b>: Uninhabited</li><li><b>83221</b>: Medium Risk (70–79% vaccinated)</li><li><b>83236</b>: Medium Risk (70–79% vaccinated)</li><li><b>83202</b>: Lower Risk (80–84% vaccinated)</li><li><b>83277</b>: Lower Risk (80–84% vaccinated)</li><li><b>83218</b>: Medium Risk (70–79% vaccinated)</li><li><b>83262</b>: Very High Risk (<60% vaccinated)</li><li><b>83274</b>: Medium Risk (70–79% vaccinated)</li><li><b>83210</b>: Higher Risk (60–69% vaccinated)</li></ul>
"Black Hawk County, IA",19013,8,Higher Risk (60–69% vaccinated),66.42,<ul><li><b>50623</b>: Uninhabited</li><li><b>50634</b>: Lowest Risk (85%+)</li><li><b>50701</b>: Medium Risk (70–79% vaccinated)</li><li><b>50667</b>: Medium Risk (70–79% vaccinated)</li><li><b>50643</b>: Higher Risk (60–69% vaccinated)</li><li><b>50707</b>: Higher Risk (60–69% vaccinated)</li><li><b>50651</b>: Medium Risk (70–79% vaccinated)</li><li><b>50629</b>: Higher Risk (60–69% vaccinated)</li><li><b>50613</b>: Medium Risk (70–79% vaccinated)</li><li><b>50702</b>: Medium Risk (70–79% vaccinated)</li><li><b>50703</b>: Very High Risk (<60% vaccinated)</li><li><b>50647</b>: Medium Risk (70–79% vaccinated)</li><li><b>50675</b>: Lower Risk (80–84% vaccinated)</li><li><b>50669</b>: Medium Risk (70–79% vaccinated)</li><li><b>50648</b>: Higher Risk (60–69% vaccinated)</li><li><b>50670</b>: Medium Risk (70–79% vaccinated)</li><li><b>50612</b>: Uninhabited</li><li><b>50626</b>: Higher Risk (60–69% vaccinated)</li></ul>
"Blackford County, IN",18009,8,Medium Risk (70–79% vaccinated),79.08,<ul><li><b>46989</b>: Medium Risk (70–79% vaccinated)</li><li><b>47348</b>: Medium Risk (70–79% vaccinated)</li><li><b>47338</b>: Medium Risk (70–79% vaccinated)</li><li><b>46952</b>: Medium Risk (70–79% vaccinated)</li><li><b>47359</b>: Medium Risk (70–79% vaccinated)</li><li><b>47369</b>: Medium Risk (70–79% vaccinated)</li><li><b>47336</b>: Medium Risk (70–79% vaccinated)</li></ul>
"Bladen County, NC",37017,0,Higher Risk (60–69% vaccinated),62.68,<ul><li><b>28438</b>: Higher Risk (60–69% vaccinated)</li><li><b>28433</b>: Higher Risk (60–69% vaccinated)</li><li><b>28382</b>: Higher Risk (60–69% vaccinated)</li><li><b>28441</b>: Medium Risk (70–79% vaccinated)</li><li><b>28320</b>: Higher Risk (60–69% vaccinated)</li><li><b>28337</b>: Higher Risk (60–69% vaccinated)</li><li><b>28448</b>: Lower Risk (80–84% vaccinated)</li><li><b>28306</b>: Higher Risk (60–69% vaccinated)</li><li><b>28312</b>: Higher Risk (60–69% vaccinated)</li><li><b>28392</b>: Higher Risk (60–69% vaccinated)</li><li><b>28423</b>: Higher Risk (60–69% vaccinated)</li><li><b>28384</b>: Higher Risk (60–69% vaccinated)</li><li><b>28434</b>: Higher Risk (60–69% vaccinated)</li><li><b>28332</b>: Medium Risk (70–79% vaccinated)</li><li><b>28447</b>: Medium Risk (70–79% vaccinated)</li><li><b>28399</b>: Medium Risk (70–79% vaccinated)</li><li><b>28444</b>: Higher Risk (60–69% vaccinated)</li><li><b>28456</b>: Higher Risk (60–69% vaccinated)</li></ul>
"Blaine County, ID",16013,3,Medium Risk (70–79% vaccinated),77.52,<ul><li><b>83333</b>: Medium Risk (70–79% vaccinated)</li><li><b>83313</b>: Medium Risk (70–79% vaccinated)</li><li><b>83340</b>: Medium Risk (70–79% vaccinated)</li><li><b>83350</b>: Higher Risk (60–69% vaccinated)</li><li><b>83352</b>: Higher Risk (60–69% vaccinated)</li><li><b>83320</b>: Medium Risk (70–79% vaccinated)</li><li><b>83354</b>: Uninhabited</li><li><b>83348</b>: Uninhabited</li><li><b>83353</b>: Medium Risk (70–79% vaccinated)</li></ul>
"Blaine County, MT",30005,32,Higher Risk (60–69% vaccinated),67.92,<ul><li><b>59501</b>: Medium Risk (70–79% vaccinated)</li><li><b>59523</b>: Lowest Risk (85%+)</li><li><b>59535</b>: Uninhabited</li><li><b>59524</b>: Lowest Risk (85%+)</li><li><b>59526</b>: Lower Risk (80–84% vaccinated)</li><li><b>59520</b>: Lowest Risk (85%+)</li><li><b>59527</b>: Lower Risk (80–84% vaccinated)</li><li><b>59542</b>: Medium Risk (70–79% vaccinated)</li><li><b>59529</b>: Lowest Risk (85%+)</li><li><b>59547</b>: Lowest Risk (85%+)</li></ul>
"Blaine County, NE",31009,1,Medium Risk (70–79% vaccinated),74.67,<ul><li><b>68821</b>: Medium Risk (70–79% vaccinated)</li><li><b>69142</b>: Uninhabited</li><li><b>68813</b>: Higher Risk (60–69% vaccinated)</li><li><b>68833</b>: Lowest Risk (85%+)</li><li><b>69157</b>: Higher Risk (60–69% vaccinated)</li></ul>
