county_state,county_fips,cases,risk_level_county,mean_vaccination_rate_county,popup_info
"Adams County, ID",16003,3,Medium Risk (70–79% vaccinated),74.79,<ul><li><b>83610</b>: Medium Risk (70–79% vaccinated)</li><li><b>83612</b>: Medium Risk (70–79% vaccinated)</li><li><b>83643</b>: Uninhabited</li><li><b>83654</b>: Higher Risk (60–69% vaccinated)</li><li><b>83638</b>: Higher Risk (60–69% vaccinated)</li><li><b>83632</b>: Medium Risk (70–79% vaccinated)</li></ul>
"Adams County, IL",17001,12,Very High Risk (<60% vaccinated),59.73,<ul><li><b>62305</b>: Medium Risk (70–79% vaccinated)</li><li><b>62379</b>: Medium Risk (70–79% vaccinated)</li><li><b>62348</b>: Very High Risk (<60% vaccinated)</li><li><b>62359</b>: Uninhabited</li><li><b>62347</b>: Higher Risk (60–69% vaccinated)</li><li><b>62343</b>: Very High Risk (<60% vaccinated)</li><li><b>62311</b>: Medium Risk (70–79% vaccinated)</li><li><b>62301</b>: Medium Risk (70–79% vaccinated)</li><li><b>62312</b>: Lower Risk (80–84% vaccinated)</li><li><b>62351</b>: Medium Risk (70–79% vaccinated)</li><li><b>62346</b>: Higher Risk (60–69% vaccinated)</li><li><b>62325</b>: Medium Risk (70–79% vaccinated)</li><li><b>62316</b>: Higher Risk (60–69% vaccinated)</li><li><b>62339</b>: Higher Risk (60–69% vaccinated)</li><li><b>62360</b>: Medium Risk (70–79% vaccinated)</li><li><b>62365</b>: Lowest Risk (85%+)</li><li><b>62373</b>: Medium Risk (70–79% vaccinated)</li><li><b>62376</b>: Higher Risk (60–69% vaccinated)</li><li><b>62320</b>: Higher Risk (60–69% vaccinated)</li><li><b>62324</b>: Higher Risk (60–69% vaccinated)</li><li><b>62338</b>: Medium Risk (70–79% vaccinated)</li><li><b>62314</b>: Higher Risk (60–69% vaccinated)</li><li><b>62349</b>: Medium Risk (70–79% vaccinated)</li></ul>
"Adams County, IN",18001,8,Medium Risk (70–79% vaccinated),73.68,<ul><li><b>46777</b>: Medium Risk (70–79% vaccinated)</li><li><b>46773</b>: Medium Risk (70–79% vaccinated)</li><li><b>46711</b>: Medium Risk (70–79% vaccinated)</li><li><b>46714</b>: Medium Risk (70–79% vaccinated)</li><li><b>46733</b>: Medium Risk (70–79% vaccinated)</li><li><b>46772</b>: Higher Risk (60–69% vaccinated)</li><li><b>46740</b>: Medium Risk (70–79% vaccinated)</li><li><b>47326</b>: Medium Risk (70–79% vaccinated)</li></ul>
"Adams County, MS",28001,0,Higher Risk (60–69% vaccinated),64.22,<ul><li><b>39661</b>: Higher Risk (60–69% vaccinated)</li><li><b>39120</b>: Higher Risk (60–69% vaccinated)</li></ul>
"Adams County, ND",38001,36,Medium Risk (70–79% vaccinated),79.86,<ul><li><b>58562</b>: Higher Risk (60–69% vaccinated)</li><li><b>58639</b>: Medium Risk (70–79% vaccinated)</li><li><b>57638</b>: Medium Risk (70–79% vaccinated)</li><li><b>58646</b>: Lower Risk (80–84% vaccinated)</li><li><b>58649</b>: Lower Risk (80–84% vaccinated)</li><li><b>58650</b>: Medium Risk (70–79% vaccinated)</li></ul>
"Adams County, NE",31001,1,Medium Risk (70–79% vaccinated),70.95,<ul><li><b>68925</b>: Medium Risk (70–79% vaccinated)</li><li><b>68945</b>: Higher Risk (60–69% vaccinated)</li><li><b>68980</b>: Higher Risk (60–69% vaccinated)</li><li><b>68928</b>: Higher Risk (60–69% vaccinated)</li><li><b>68957</b>: Lowest Risk (85%+)</li><li><b>68941</b>: Higher Risk (60–69% vaccinated)</li><li><b>68956</b>: Higher Risk (60–69% vaccinated)</li><li><b>68883</b>: Higher Risk (60–69% vaccinated)</li><li><b>68930</b>: Medium Risk (70–79% vaccinated)</li><li><b>68950</b>: Higher Risk (60–69% vaccinated)</li><li><b>68955</b>: Higher Risk (60–69% vaccinated)</li><li><b>68901</b>: Medium Risk (70–79% vaccinated)</li><li><b>68932</b>: Higher Risk (60–69% vaccinated)</li><li><b>68973</b>: Lowest Risk (85%+)</li></ul>
"Adams County, OH",39001,38,Higher Risk (60–69% vaccinated),68.75,<ul><li><b>45616</b>: Medium Risk (70–79% vaccinated)</li><li><b>45618</b>: Uninhabited</li><li><b>45684</b>: Medium Risk (70–79% vaccinated)</li><li><b>45693</b>: Higher Risk (60–69% vaccinated)</li><li><b>45105</b>: Uninhabited</li><li><b>45697</b>: Higher Risk (60–69% vaccinated)</li><li><b>45660</b>: Medium Risk (70–79% vaccinated)</li><li><b>45650</b>: Medium Risk (70–79% vaccinated)</li><li><b>45144</b>: Medium Risk (70–79% vaccinated)</li><li><b>45679</b>: Medium Risk (70–79% vaccinated)</li><li><b>45671</b>: Lower Risk (80–84% vaccinated)</li><li><b>45101</b>: Higher Risk (60–69% vaccinated)</li><li><b>45657</b>: Medium Risk (70–79% vaccinated)</li></ul>
"Adams County, PA",42001,16,Lower Risk (80–84% vaccinated),81.18,<ul><li><b>17303</b>: Uninhabited</li><li><b>17307</b>: Medium Risk (70–79% vaccinated)</li><li><b>17344</b>: Lowest Risk (85%+)</li><li><b>17222</b>: Medium Risk (70–79% vaccinated)</li><li><b>17306</b>: Lowest Risk (85%+)</li><li><b>17325</b>: Medium Risk (70–79% vaccinated)</li><li><b>17331</b>: Medium Risk (70–79% vaccinated)</li><li><b>17353</b>: Medium Risk (70–79% vaccinated)</li><li><b>17316</b>: Medium Risk (70–79% vaccinated)</li><li><b>17019</b>: Medium Risk (70–79% vaccinated)</li><li><b>17340</b>: Medium Risk (70–79% vaccinated)</li><li><b>17304</b>: Higher Risk (60–69% vaccinated)</li><li><b>17324</b>: Medium Risk (70–79% vaccinated)</li><li><b>17372</b>: Medium Risk (70–79% vaccinated)</li><li><b>17350</b>: Medium Risk (70–79% vaccinated)</li><li><b>17301</b>: Medium Risk (70–79% vaccinated)</li><li><b>17343</b>: Uninhabited</li><li><b>17320</b>: Medium Risk (70–79% vaccinated)</li></ul>
"Adams County, WA",53001,10,Very High Risk (<60% vaccinated),57.44,<ul><li><b>99371</b>: Lowest Risk (85%+)</li><li><b>99344</b>: Higher Risk (60–69% vaccinated)</li><li><b>99169</b>: Higher Risk (60–69% vaccinated)</li><li><b>99333</b>: Medium Risk (70–79% vaccinated)</li><li><b>99105</b>: Medium Risk (70–79% vaccinated)</li><li><b>99326</b>: Very High Risk (<60% vaccinated)</li><li><b>99032</b>: Medium Risk (70–79% vaccinated)</li><li><b>98832</b>: Higher Risk (60–69% vaccinated)</li><li><b>99341</b>: Medium Risk (70–79% vaccinated)</li><li><b>98857</b>: Very High Risk (<60% vaccinated)</li><li><b>99159</b>: Higher Risk (60–69% vaccinated)</li></ul>
"Adams County, WI",55001,36,Medium Risk (70–79% vaccinated),74.59,<ul><li><b>53934</b>: Higher Risk (60–69% vaccinated)</li><li><b>53965</b>: Very High Risk (<60% vaccinated)</li><li><b>53920</b>: Medium Risk (70–79% vaccinated)</li><li><b>54943</b>: Higher Risk (60–69% vaccinated)</li><li><b>53910</b>: Very High Risk (<60% vaccinated)</li><li><b>54494</b>: Medium Risk (70–79% vaccinated)</li><li><b>54921</b>: Higher Risk (60–69% vaccinated)</li><li><b>54457</b>: Higher Risk (60–69% vaccinated)</li><li><b>54930</b>: Higher Risk (60–69% vaccinated)</li><li><b>54613</b>: Higher Risk (60–69% vaccinated)</li><li><b>53952</b>: Higher Risk (60–69% vaccinated)</li><li><b>53936</b>: Very High Risk (<60% vaccinated)</li><li><b>54966</b>: Higher Risk (60–69% vaccinated)</li><li><b>53964</b>: Higher Risk (60–69% vaccinated)</li></ul>
